Language	Value	Reference
Aari	 OV and Postpositions
Sema	 OV and Postpositions
Seme	 OV and Postpositions
Semelai	 VO and Prepositions
Seminole	 OV and Postpositions
Seneca	 Other
Sengele	 VO and Prepositions
Sentani	 OV and Postpositions
Serbian-Croatian	 VO and Prepositions
Seri	 OV and Postpositions
Sesotho	 VO and Prepositions
Shabo	 OV and Postpositions
Sharanahua	 OV and Postpositions
Shekhawati	 OV and Postpositions
Sherpa	 OV and Postpositions
Shilluk	 VO and Prepositions
Shina	 OV and Postpositions
Shipibo-Konibo	 OV and Postpositions
Shiriana	 OV and Postpositions
Shona	 VO and Prepositions
Shuri	 OV and Postpositions
Shuswap	 VO and Prepositions
Siar	 VO and Prepositions
Sidaama	 OV and Postpositions
Sikkimese	 OV and Postpositions
Simeulue	 VO and Prepositions
Sinaugoro	 OV and Postpositions
Sinhala	 OV and Postpositions
Sio	 VO and Prepositions
Sipakapense	 VO and Prepositions
Sirionó	 OV and Postpositions
Siroi	 OV and Postpositions
Sisiqa	 VO and Prepositions
Skou	 OV and Postpositions
Slave	 OV and Postpositions
Slovene	 VO and Prepositions
So	 VO and Prepositions
Sobei	 VO and Prepositions
Soddo	 Other
Somali	 Other
Sonsorol-Tobi	 VO and Prepositions
Sorbian	 OV and Prepositions
Sougb	 VO and Prepositions
Southern Toussian	 OV and Postpositions
Spanish	 VO and Prepositions
Squamish	 VO and Prepositions
Sre	 VO and Prepositions
Stieng	 VO and Prepositions
Suena	 OV and Postpositions
Sulka	 VO and Prepositions
Sundanese	 VO and Prepositions
Supyire	 OV and Postpositions
Susu	 OV and Postpositions
Swahili	 VO and Prepositions
Swedish	 VO and Prepositions
Taba	 VO and Prepositions
Tabla	 OV and Postpositions
Tabwa	 VO and Prepositions
Tacana	 OV and Postpositions
Tahitian	 VO and Prepositions
Tajik	 OV and Prepositions
Takelma	 OV and Postpositions
Takia	 OV and Postpositions
Talinga	 VO and Prepositions
Talysh (Southern)	 OV and Postpositions
Tamang (Eastern)	 OV and Postpositions
Tamashek	 VO and Prepositions
Tamil	 OV and Postpositions
Tanacross	 OV and Postpositions
Tapieté	 OV and Prepositions
Tarahumara (Central)	 OV and Postpositions
Tarahumara (Western)	 Other
Tariana	 OV and Postpositions
Tatar	 OV and Postpositions
Taushiro	 VO and Postpositions
Tausug	 VO and Prepositions
Tauya	 OV and Postpositions
Tawala	 Other
Tboli	 VO and Prepositions
Telefol	 OV and Postpositions
Telugu	 OV and Postpositions
Temiar	 VO and Prepositions
Temne	 VO and Prepositions
Tennet	 Other
Tenyer	 OV and Postpositions
Teop	 VO and Prepositions
Tepehua (Huehuetla)	 VO and Prepositions
Tepehuan (Northern)	 VO and Postpositions
Tepehuan (Southeastern)	 VO and Postpositions
Tepehua (Tlachichilco)	 VO and Prepositions
Tera	 VO and Prepositions
Teribe	 OV and Postpositions
Teso	 VO and Prepositions
Tetela	 VO and Prepositions
Tetun	 VO and Prepositions
Tetun Dili	 VO and Prepositions
Thai	 VO and Prepositions
Thangmi	 OV and Postpositions
Thompson	 VO and Prepositions
Thulung	 OV and Postpositions
Tibetan (Modern Literary)	 OV and Postpositions
Ticuna	 Other
Tidore	 VO and Prepositions
Tigak	 VO and Prepositions
Tigré	 OV and Prepositions
Tigrinya	 OV and Prepositions
Tiipay (Jamul)	 OV and Postpositions
Tikar	 Other
Timugon	 VO and Prepositions
Tinrin	 VO and Prepositions
Tiriyo	 OV and Postpositions
Tirmaga	 VO and Postpositions
Tiv	 VO and Prepositions
Tiwa (Northern)	 Other
Tiwi	 VO and Prepositions
Tlapanec	 VO and Prepositions
Tlingit	 OV and Postpositions
Tobati	 OV and Postpositions
Tobelo	 OV and Prepositions
Tokelauan	 VO and Prepositions
Tolai	 VO and Prepositions
Tondano	 VO and Prepositions
Tongan	 VO and Prepositions
Tonkawa	 OV and Postpositions
Torwali	 OV and Postpositions
Totonac (Xicotepec de Juárez)	 VO and Prepositions
Trique (Copala)	 VO and Prepositions
Trumai	 Other
Tsafiki	 OV and Postpositions
Tsez	 OV and Postpositions
Tshangla	 OV and Postpositions
Tsimshian (Coast)	 VO and Prepositions
Tsova-Tush	 OV and Postpositions
Tuareg (Air)	 VO and Prepositions
Tuareg (Ghat)	 VO and Prepositions
Tubu	 OV and Postpositions
Tucano	 OV and Postpositions
Tukang Besi	 VO and Prepositions
Tulu	 OV and Postpositions
Tümpisa Shoshone	 Other
Tunen	 Other
Tungak	 VO and Prepositions
Tunica	 OV and Postpositions
Tupuri	 VO and Prepositions
Turkana	 VO and Prepositions
Turkish	 OV and Postpositions
Turkmen	 OV and Postpositions
Tuscarora	 Other
Tutelo	 OV and Postpositions
Tutsa	 OV and Postpositions
Tuvaluan	 OV and Prepositions
Tuvan	 OV and Postpositions
Tuyuca	 OV and Postpositions
Tzotzil	 VO and Prepositions
Tzutujil	 VO and Prepositions
Ubykh	 OV and Postpositions
Udihe	 OV and Postpositions
Udmurt	 OV and Postpositions
Ukrainian	 VO and Prepositions
Uldeme	 VO and Prepositions
Ulithian	 VO and Prepositions
Una	 OV and Postpositions
Ungarinjin	 OV and Postpositions
Urak Lawoi'	 VO and Prepositions
Urarina	 OV and Postpositions
Urdu	 OV and Postpositions
Urubú-Kaapor	 OV and Postpositions
Usan	 OV and Postpositions
Ute	 OV and Postpositions
Vafsi	 Other
Vai	 OV and Postpositions
Vietnamese	 VO and Prepositions
Vinmavis	 VO and Prepositions
Votic	 Other
Wahgi	 OV and Postpositions
Wai Wai	 OV and Postpositions
Wakhi	 Other
Walman	 VO and Postpositions
Wambon	 OV and Postpositions
Wambule	 OV and Postpositions
Wan	 OV and Postpositions
Wangkumara	 Other
Waorani	 OV and Postpositions
Warao	 OV and Postpositions
Waray (in Australia)	 VO and Postpositions
Wardaman	 Other
Warekena	 VO and Prepositions
Warembori	 VO and Prepositions
Wari'	 VO and Prepositions
Warlpiri	 Other
Warrgamay	 Other
Warrwa	 Other
Washo	 OV and Postpositions
Waskia	 OV and Postpositions
Watam	 OV and Postpositions
Wayampi	 OV and Postpositions
Wedau	 Other
Welsh	 VO and Prepositions
Wembawemba	 Other
West Makian	 VO and Prepositions
Wichí	 VO and Prepositions
Wikchamni	 Other
Wintu	 Other
Wiyot	 Other
Woisika	 Other
Woleaian	 VO and Prepositions
Wolio	 VO and Prepositions
Wolof	 VO and Prepositions
Xârâcùù	 VO and Prepositions
Xasonga	 OV and Postpositions
Xhosa	 VO and Prepositions
Yagaria	 OV and Postpositions
Yagua	 VO and Postpositions
Yahgan	 OV and Postpositions
Yakut	 OV and Postpositions
Yale (Kosarek)	 OV and Postpositions
Yapese	 VO and Prepositions
Yaqay	 OV and Postpositions
Yaqui	 OV and Postpositions
Yareba	 OV and Postpositions
Yawuru	 Other
Yei	 OV and Postpositions
Yelî Dnye	 OV and Postpositions
Yelmek	 OV and Postpositions
Yimas	 OV and Postpositions
Yindjibarndi	 Other
Yokuts (Yaudanchi)	 VO and Prepositions
Yoruba	 VO and Prepositions
Yuchi	 OV and Postpositions
Yucuna	 VO and Postpositions
Yukaghir (Kolyma)	 OV and Postpositions
Yukaghir (Tundra)	 OV and Postpositions
Yulu	 VO and Prepositions
Yup'ik (Central)	 Other
Yurok	 Other
Zande	 VO and Prepositions
Zapotec (Isthmus)	 VO and Prepositions
Zapotec (Mitla)	 VO and Prepositions
Zapotec (Yatzachi)	 VO and Prepositions
Zarma	 Other
Zazaki	 OV and Postpositions
Zhuang (Northern)	 VO and Prepositions
Zoque (Chimalapa)	 VO and Postpositions
Zulu	 VO and Prepositions
Zuni	 OV and Postpositions
