Language	Value
Piro	 OV and NAdj
Pitjantjatjara	 OV and NAdj
Pitta Pitta	 Other
Podoko	 Other
Pohnpeian	 VO and NAdj
Poko-Rawo	 Other
Pokot	 VO and NAdj
Polish	 VO and AdjN
Port Sandwich	 VO and NAdj
Portuguese	 VO and NAdj
Prasuni	 OV and AdjN
Puluwat	 VO and NAdj
Pungupungu	 OV and NAdj
Purépecha	 VO and NAdj
Purki	 OV and AdjN
Qafar	 OV and AdjN
Quechua (Huallaga)	 OV and AdjN
Quechua (Imbabura)	 OV and AdjN
Quileute	 VO and AdjN
Raga	 VO and NAdj
Raji	 Other
Ralte	 OV and NAdj
Rama	 OV and NAdj
Rang Pas	 OV and AdjN
Rao	 OV and NAdj
Rapanui	 VO and NAdj
Rashad	 OV and NAdj
Rawa	 OV and NAdj
Rawang	 OV and NAdj
Remo	 OV and AdjN
Resígaro	 OV and AdjN
Retuarã	 OV and AdjN
rGyalrong (Caodeng)	 OV and NAdj
Ritharngu	 Other
Romanian	 VO and NAdj
Romani (Welsh)	 VO and AdjN
Romansch (Sursilvan)	 VO and NAdj
Ronga	 VO and NAdj
Rotuman	 VO and NAdj
Roviana	 VO and NAdj
Rukai (Tanan)	 Other
Rumu	 OV and NAdj
Runga	 OV and NAdj
Runyankore	 VO and NAdj
Runyoro-Rutooro	 VO and NAdj
Russian	 VO and AdjN
Rutul	 OV and AdjN
Saami (Northern)	 VO and AdjN
Sahu	 VO and NAdj
Sakao	 VO and NAdj
Saliba (in Papua New Guinea)	 OV and NAdj
Salinan	 Other
Salt-Yui	 OV and NAdj
Samba Leko	 VO and NAdj
Samoan	 VO and NAdj
Sandawe	 OV and NAdj
Sango	 VO and AdjN
Sangu	 VO and NAdj
Santa	 OV and AdjN
Santali	 OV and AdjN
Sanuma	 OV and NAdj
Sapuan	 VO and NAdj
Sarcee	 OV and NAdj
Sardinian	 VO and NAdj
Sare	 OV and AdjN
Savi	 OV and AdjN
Savosavo	 OV and AdjN
Sebei	 VO and NAdj
Sedang	 VO and NAdj
Seediq	 Other
Selknam	 OV and AdjN
Selkup	 OV and AdjN
Sema	 OV and NAdj
Seme	 OV and NAdj
Semelai	 VO and NAdj
Seminole	 OV and NAdj
Seneca	 Other
Sentani	 OV and NAdj
Serbian-Croatian	 VO and AdjN
Seri	 Other
Sesotho	 VO and NAdj
Shabo	 OV and AdjN
Shambala	 VO and NAdj
Shatt	 VO and NAdj
Sherpa	 OV and NAdj
Shilluk	 VO and NAdj
Shina	 OV and AdjN
Shipibo-Konibo	 Other
Shiriana	 OV and NAdj
Shompen	 VO and AdjN
Shona	 VO and NAdj
Shoshone	 OV and AdjN
Siane	 OV and NAdj
Siar	 VO and AdjN
Sidaama	 OV and AdjN
Sikkimese	 OV and NAdj
Sila	 OV and NAdj
Simeulue	 VO and NAdj
Sinaugoro	 OV and NAdj
Sinhala	 OV and AdjN
Sio	 VO and NAdj
Siona	 OV and AdjN
Sipakapense	 VO and AdjN
Sirionó	 OV and NAdj
Siroi	 OV and NAdj
Sisiqa	 VO and NAdj
Siuslaw	 VO and AdjN
Skou	 OV and NAdj
Slave	 OV and NAdj
Slovene	 VO and AdjN
So	 VO and NAdj
Sobei	 VO and NAdj
Soddo	 OV and AdjN
Somali	 OV and NAdj
Soninke	 OV and NAdj
Sonsorol-Tobi	 Other
Sorbian	 OV and AdjN
Sougb	 VO and NAdj
Southeast Ambrym	 VO and NAdj
Spanish	 VO and NAdj
Spitian	 OV and NAdj
Squamish	 VO and AdjN
Sre	 VO and NAdj
Stieng	 VO and NAdj
Sudest	 VO and NAdj
Suena	 OV and NAdj
Suki	 OV and AdjN
Suku	 VO and NAdj
Sulka	 VO and NAdj
Sundanese	 VO and NAdj
Supyire	 OV and NAdj
Swahili	 VO and NAdj
Swati	 Other
Swedish	 VO and AdjN
Taba	 VO and NAdj
Tabare	 OV and NAdj
Tabla	 OV and NAdj
Tabwa	 VO and NAdj
Tacana	 Other
Tagalog	 Other
Tahitian	 VO and NAdj
Taiof	 VO and NAdj
Tairora	 Other
Tajik	 OV and NAdj
Takelma	 OV and NAdj
Takia	 OV and NAdj
Talysh (Southern)	 OV and AdjN
Tama	 OV and NAdj
Tamabo	 VO and NAdj
Tamang (Eastern)	 OV and AdjN
Tamashek	 VO and NAdj
Tamil	 OV and AdjN
Tanacross	 OV and NAdj
Tarahumara (Central)	 OV and AdjN
Tarahumara (Western)	 OV and AdjN
Tarao	 OV and NAdj
Tariana	 Other
Tatana'	 VO and NAdj
Tatar	 OV and AdjN
Tausug	 VO and NAdj
Tauya	 OV and NAdj
Tawala	 OV and NAdj
Tboli	 VO and NAdj
Telefol	 OV and NAdj
Telugu	 OV and AdjN
Temein	 VO and NAdj
Temiar	 VO and NAdj
Temne	 VO and NAdj
Tennet	 VO and NAdj
Tenyer	 OV and NAdj
Teop	 VO and NAdj
Tepehua (Huehuetla)	 VO and AdjN
Tepehuan (Northern)	 Other
Tepehuan (Southeastern)	 VO and NAdj
Tepehua (Tlachichilco)	 VO and AdjN
Tera	 VO and NAdj
Teribe	 OV and NAdj
Teso	 VO and NAdj
Tetun	 VO and NAdj
Tetun Dili	 VO and NAdj
Thai	 VO and NAdj
Thakali	 OV and AdjN
Thangmi	 OV and AdjN
Thompson	 VO and AdjN
Thulung	 OV and AdjN
Tibetan (Dingri)	 OV and NAdj
Tibetan (Drokpa)	 OV and NAdj
Tibetan (Modern Literary)	 OV and NAdj
Tibetan (Shigatse)	 Other
Tibetan (Standard Spoken)	 OV and NAdj
Ticuna	 Other
Tidore	 VO and NAdj
Tigak	 VO and NAdj
Tigré	 OV and AdjN
Tigrinya	 OV and AdjN
Tiipay (Jamul)	 Other
Tikar	 Other
Tima	 VO and NAdj
Timugon	 VO and NAdj
Tinani	 OV and AdjN
Tinrin	 VO and AdjN
Tiv	 Other
Tiwa (Northern)	 Other
Tiwi	 VO and AdjN
Tlapanec	 VO and NAdj
Tlingit	 Other
Toba	 VO and AdjN
Tobati	 OV and NAdj
Tolai	 Other
Tondano	 VO and NAdj
Tonga (in Zambia)	 VO and NAdj
Tongan	 VO and NAdj
Tonkawa	 OV and NAdj
Torwali	 OV and AdjN
Totonac (Misantla)	 Other
Totonac (Xicotepec de Juárez)	 VO and AdjN
Trique (Copala)	 VO and NAdj
Trumai	 Other
Tsafiki	 OV and AdjN
Tsez	 OV and AdjN
Tshangla	 OV and AdjN
Tsimshian (Coast)	 VO and AdjN
Tsova-Tush	 OV and AdjN
Tubu	 OV and NAdj
Tucano	 Other
Tugun	 VO and NAdj
Tukang Besi	 VO and NAdj
Tulu	 OV and AdjN
Tumleo	 VO and NAdj
Tümpisa Shoshone	 OV and AdjN
Tunen	 OV and NAdj
Tungak	 VO and NAdj
Tunica	 OV and NAdj
Tupuri	 VO and NAdj
Turkana	 VO and NAdj
Turkish	 OV and AdjN
Turkmen	 OV and AdjN
Tuscarora	 Other
Tutsa	 Other
Tuvaluan	 OV and NAdj
Tuvan	 OV and AdjN
Tzutujil	 Other
Ubykh	 OV and AdjN
Udi	 OV and AdjN
Udihe	 OV and AdjN
Udmurt	 OV and AdjN
Ukrainian	 VO and AdjN
Uldeme	 VO and NAdj
Ulithian	 VO and NAdj
Una	 OV and NAdj
Ungarinjin	 OV and NAdj
Ura	 VO and NAdj
Uradhi	 OV and NAdj
Urak Lawoi'	 VO and NAdj
Urarina	 OV and NAdj
Urat	 VO and NAdj
Urdu	 OV and AdjN
Uru	 Other
Urubú-Kaapor	 OV and NAdj
Usan	 OV and NAdj
Usarufa	 OV and AdjN
Ute	 OV and NAdj
Uyghur	 OV and AdjN
Uzbek	 OV and AdjN
Vafsi	 OV and NAdj
Vai	 OV and NAdj
Venda	 VO and NAdj
Vietnamese	 VO and NAdj
Vinmavis	 VO and NAdj
Wagiman	 OV and NAdj
Wahgi	 OV and NAdj
Wakhi	 OV and AdjN
Walman	 VO and NAdj
Wambon	 OV and NAdj
Wambule	 OV and AdjN
Wan	 OV and NAdj
Wangkumara	 Other
Waorani	 Other
Wappo	 OV and NAdj
Warao	 OV and NAdj
Wardaman	 Other
Warekena	 VO and NAdj
Warembori	 VO and NAdj
Warlpiri	 Other
Warrgamay	 Other
Warrwa	 Other
Washo	 OV and AdjN
Waskia	 OV and NAdj
Wathawurrung	 VO and NAdj
Wedau	 OV and NAdj
Welsh	 VO and NAdj
Wembawemba	 VO and AdjN
West Makian	 VO and NAdj
Wichí	 VO and NAdj
Wichita	 OV and NAdj
Wikchamni	 Other
Wik Munkan	 OV and NAdj
Wik Ngathana	 OV and NAdj
Wintu	 Other
Wiyot	 Other
Woisika	 OV and NAdj
Wolaytta	 OV and AdjN
Woleaian	 VO and NAdj
Wolio	 VO and NAdj
Wolof	 VO and NAdj
Womo	 OV and NAdj
/Xam	 VO and NAdj
Xârâcùù	 VO and AdjN
Xasonga	 OV and NAdj
Xerénte	 OV and NAdj
Xhosa	 VO and NAdj
!Xóõ	 VO and NAdj
Yagaria	 OV and AdjN
Yagua	 VO and NAdj
Yahgan	 OV and AdjN
Yakut	 OV and AdjN
Yale (Kosarek)	 OV and NAdj
Yaminahua	 OV and NAdj
Yamphu	 OV and AdjN
Yao (in Malawi)	 VO and NAdj
Yapese	 VO and NAdj
Yaqui	 OV and AdjN
Yareba	 OV and AdjN
Yawuru	 Other
Yay	 VO and NAdj
Yelî Dnye	 OV and NAdj
Yidiny	 OV and NAdj
Yimas	 Other
Yindjibarndi	 Other
Yingkarta	 VO and AdjN
Yokuts (Yaudanchi)	 VO and AdjN
Yoruba	 VO and NAdj
Yuchi	 OV and NAdj
Yucuna	 VO and AdjN
Yukaghir (Kolyma)	 OV and AdjN
Yukaghir (Tundra)	 OV and AdjN
Yukulta	 OV and AdjN
Yulu	 VO and NAdj
Yup'ik (Central)	 Other
Yurok	 Other
Yuwaalaraay	 OV and AdjN
Zande	 VO and AdjN
Zapotec (Isthmus)	 VO and NAdj
Zapotec (Mitla)	 VO and NAdj
Zapotec (Yatzachi)	 VO and NAdj
Zapotec (Zoogocho)	 VO and NAdj
Zarma	 Other
Zayse	 OV and AdjN
Zazaki	 OV and NAdj
Zoque (Chimalapa)	 VO and AdjN
Zoque (Copainalá)	 VO and AdjN
Zulu	 VO and NAdj
Zuni	 OV and NAdj
